PLACE_ID;CODE;NAME;TYPE_ID;IS_PARKING;IS_TEST;ST_CODE;ST_NAME;ST_NAME_SHORT;LN_CODE;LN_NAME;LN_NAME_SHORT
40857;5821;Университет Дружбы Народов;1;0;0;2164;Университет Дружбы Народов;Универ.Друж.Нар.;2162;Троицкая линия;Троицкая линия
722;5827;5827;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
723;5828;5828;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
724;5829;5829;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
725;5830;5830;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
40861;5831;Генерала Тюленева;1;0;0;2165;Генерала Тюленева;Ген-ла Тюленева;2162;Троицкая линия;Троицкая линия
726;5831;5831;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
727;5832;5832;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
728;5833;5833;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
729;5834;5834;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
730;5835;5835;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
40858;5841;Тютчевская;1;1;0;2166;Тютчевская;Тютчевская;2162;Троицкая линия;Троицкая линия
40996;5851;Корниловская (Первый);1;0;0;2171;Корниловская;Корниловская;2162;Троицкая линия;Троицкая линия
40997;5852;Корниловская (Второй);1;0;0;2171;Корниловская;Корниловская;2162;Троицкая линия;Троицкая линия
40995;5861;Коммунарка;1;0;0;2172;Коммунарка;Коммунарка;2162;Троицкая линия;Троицкая линия
40998;5871;Новомосковская ТЛ;1;0;0;2173;Новомосковская ТЛ;Новомосков-я ТЛ;2162;Троицкая линия;Троицкая линия
731;5933;5933;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
732;5934;5934;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
733;5948;5948;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
734;5949;5949;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
735;5971;5971;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
