RT_CODE;PARENT_RT_CODE;NAME;ROUTE_NAME
62;46;ММ/МЦД МСК-МЦД МСК_2/ММ/МЦД МСК-МЦД МО_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
63;45;ММ/МЦД МСК-МЦД МСК_1/ММ/МЦД МСК-ДП_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
64;46;ММ/МЦД МСК-МЦД МСК_2/ММ/МЦД МСК-ДП_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
65;43;ММ/МЦД МСК-МЦД МСК_1/ММТС;ММ/МЦД-М/ММ
66;44;ММ/МЦД МСК-МЦД МСК_2/ММТС;ММ/МЦД-М/ММ
67;65;ММ/МЦД МСК-МЦД МСК_1/ММТС/МГТ;ММ/МЦД-М/ММ/МГТ
68;66;ММ/МЦД МСК-МЦД МСК_2/ММТС/МГТ;ММ/МЦД-М/ММ/МГТ
69;43;ММ/МЦД МСК-МЦД МСК_1/МЦК;ММ/МЦД-М/ММ
70;44;ММ/МЦД МСК-МЦД МСК_2/МЦК;ММ/МЦД-М/ММ
71;69;ММ/МЦД МСК-МЦД МСК_1/МЦК/ММ;ММ/МЦД-М/ММ
72;70;ММ/МЦД МСК-МЦД МСК_2/МЦК/ММ;ММ/МЦД-М/ММ
73;71;ММ/МЦД МСК-МЦД МСК_1/МЦК/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
74;72;ММ/МЦД МСК-МЦД МСК_2/МЦК/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
75;69;ММ/МЦД МСК-МЦД МСК_1/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
76;70;ММ/МЦД МСК-МЦД МСК_2/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
77;69;ММ/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/ММ/МЦД-М
78;70;ММ/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/ММ/МЦД-М
79;77;ММ/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/ММ/МЦД-М/МГТ
80;78;ММ/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/ММ/МЦД-М/МГТ
81;69;ММ/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-МЦД МО_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
82;70;ММ/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-МЦД МО_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
83;69;ММ/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-ДП_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
84;70;ММ/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-ДП_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
85;43;ММ/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
86;44;ММ/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
87;85;ММ/МЦД МСК-МЦД МСК_1/МГТ/МГТ;ММ/МЦД-М/МГТ
88;86;ММ/МЦД МСК-МЦД МСК_2/МГТ/МГТ;ММ/МЦД-М/МГТ
89;43;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/МЦД-М
90;44;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/МЦД-М
91;89;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/МЦД-М/ММ
92;90;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/МЦД-М/ММ
93;91;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/ММ/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
94;92;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/ММ/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
95;89;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/ММТС;ММ/МЦД-М/МЦД-М/ММ
96;90;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/ММТС;ММ/МЦД-М/МЦД-М/ММ
97;95;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/ММТС/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
98;96;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/ММТС/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
99;89;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МЦК;ММ/МЦД-М/МЦД-М/ММ
100;90;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МЦК;ММ/МЦД-М/МЦД-М/ММ
101;99;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МЦК/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
102;100;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МЦК/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
103;89;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МЦД-М/МГТ
104;90;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МЦД-М/МГТ
105;43;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МО_2;ММ/МЦД-М/МЦД-М-МЦД-МО
106;44;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МО_1;ММ/МЦД-М/МЦД-М-МЦД-МО
107;43;ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-ДП_2;ММ/МЦД-М/МЦД-М-МЦД-МО
108;44;ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-ДП_1;ММ/МЦД-М/МЦД-М-МЦД-МО
